,precision,recall,f1-score,support,accuracy
0.0,0.7865168539325843,0.875,0.8284023668639053,80.0,
1.0,0.7058823529411765,0.5581395348837209,0.6233766233766234,43.0,
accuracy,0.7642276422764228,0.7642276422764228,0.7642276422764228,0.7642276422764228,
macro avg,0.7461996034368804,0.7165697674418605,0.7258894951202643,123.0,
weighted avg,0.7583275568380271,0.7642276422764228,0.7567267004415221,123.0,
overall_accuracy,,,,,0.7642276422764228
overall_metrics,0.7058823529411765,0.5581395348837209,0.6233766233766234,,
